freq,dVs_3w,dVs_3w_o,dVs_1w,dVs_1w_o,dVsh_1w,dVsh_1w_o
50.0,0.00035499205895876196,0.0003738430617981937,0.00013798003875108747,0.0003738430617981937,2.1190327650546846e-06,1.6518248122384984e-06
56.172467201025746,0.00022749209281461432,0.00022350298862652552,5.062375924405413e-05,0.00022350298862652552,9.475959184650155e-07,1.5573553680880503e-06
63.10692142900625,0.00014637559647411074,0.00014694242646269285,0.00013796690499898,0.00014694242646269285,1.0807742537894684e-06,8.991395409895446e-07
70.89742948257124,9.251622250544489e-05,9.194305128047615e-05,8.843106543140703e-05,9.194305128047615e-05,1.4986264163567983e-06,9.47776294615096e-07
79.64967064493537,5.821735696780199e-05,5.916191247747668e-05,5.2870856811650906e-05,5.916191247747668e-05,8.989684211485967e-07,7.92966539801034e-07
89.48237023750268,3.6514100679961875e-05,3.702321103145915e-05,4.4992199598244744e-05,3.702321103145915e-05,1.3064231916020114e-06,5.994263606596965e-07
100.52891014472323,2.271310413776318e-05,2.3456793430383254e-05,2.6413774815415738e-05,2.3456793430383254e-05,1.327215829989753e-06,6.308010197407614e-07
112.93913815718659,1.4638449100496013e-05,1.4366568265813792e-05,2.5360122288125238e-05,1.4366568265813792e-05,1.3064051703571358e-06,7.92966539801034e-07
126.88140067693357,9.064664247586502e-06,9.551657709582935e-06,0.0,9.551657709582935e-06,1.1988406436590867e-06,5.994263606596965e-07
142.54482635890514,5.769372354997674e-06,5.944093580324907e-06,0.0,5.944093580324907e-06,1.3064231916020114e-06,5.994263606596965e-07
160.14189166643013,4.200910478775341e-06,2.1520480079216994e-06,0.0,2.1520480079216994e-06,1.4058469175395649e-06,5.994263606596965e-07
179.91130314285527,2.0969965922510867e-06,2.778032984535062e-06,0.0,2.778032984535062e-06,1.5573311532836374e-06,0.0
202.12123549771675,2.6233378593105373e-06,1.0298001274800845e-06,0.0,1.0298001274800845e-06,1.5574672459548187e-06,5.994263606596965e-07
227.0729694325259,9.326250141476855e-07,1.6965762561467396e-06,0.0,1.6965762561467396e-06,8.994398256691396e-07,5.994263606596965e-07
255.10497855376158,1.2362820169609495e-06,1.2706088949172944e-06,1.920187748023271e-05,1.2706088949172944e-06,1.7683082619766303e-06,0.0
286.597520812591,0.0,1.0790318070743685e-06,0.0,1.0790318070743685e-06,1.3276648614672159e-06,0.0
321.9777967548111,1.5416000117000506e-06,8.948583427754002e-07,0.0,8.948583427754002e-07,1.3276648614672159e-06,6.308010197407614e-07
361.7257445533632,1.0731057147710601e-06,1.0213198883895191e-06,0.0,1.0213198883895191e-06,1.6688663484200018e-06,0.0
406.38055043380825,1.2202898647271757e-06,1.1731947705564193e-06,0.0,1.1731947705564193e-06,1.3488062082819383e-06,0.0
456.54796280755755,1.1823427177438067e-06,1.246934248037638e-06,1.9201877480232713e-05,1.246934248037638e-06,1.2716666909372978e-06,5.994263606596965e-07
512.908509330053,1.2909704538334377e-06,9.646914797799322e-07,2.957991030667664e-05,9.646914797799322e-07,1.3276648614672159e-06,6.308010197407614e-07
576.2267283493879,9.980212403516002e-07,8.653193714934167e-07,0.0,8.653193714934167e-07,1.5574672459548187e-06,9.47776294615096e-07
647.3615399712073,9.329388712757196e-07,1.4828350847302106e-06,0.0,1.4828350847302106e-06,1.3066214655824175e-06,5.994263606596965e-07
727.2778974247633,9.60163988075741e-07,9.303902439024331e-07,0.0,9.303902439024331e-07,8.989684211485967e-07,7.92966539801034e-07
817.0598767824695,2.2532086550756308e-06,2.5138454325283487e-06,0.0,2.5138454325283487e-06,5.996265504460931e-07,5.994263606596965e-07
917.925382596748,1.1124099140048765e-06,1.2273023037810038e-06,0.0,1.2273023037810038e-06,1.4058469175395649e-06,7.92966539801034e-07
1031.2426689380966,6.740257428046974e-07,9.303902439024331e-07,0.0,9.303902439024331e-07,1.1990370622057545e-06,1.1988527213193928e-06
1158.548899944469,1.098792716425881e-06,8.678557466273806e-07,2.0173853746860142e-05,8.678557466273806e-07,1.747684782438001e-06,1.8955496326542217e-06
1301.571001658303,6.240265804527131e-07,1.1242071223454228e-06,1.9170450512161625e-05,1.1242071223454228e-06,2.0105761473877194e-06,9.47776294615096e-07
1462.2490880091452,1.330699196280569e-06,8.875357262744042e-07,2.6413774815415738e-05,8.875357262744042e-07,1.6688663484200018e-06,5.994263606596964e-07
1642.7627787184701,9.326250141474418e-07,1.5074442224925758e-06,0.0,1.5074442224925758e-06,9.539999999998421e-07,9.536815e-07
1845.560766132584,1.1894760733074297e-06,1.0949392760510183e-06,1.9201877480197818e-05,1.0949392760510183e-06,1.8955645369072235e-06,8.991329413262532e-07
2073.394032061649,8.189317013458489e-07,7.895036923523334e-07,0.0,7.895036923523334e-07,1.2617871688104879e-06,9.536744999999997e-07
2329.35316521571,9.190239241878073e-07,1.3483031914145264e-06,3.036083409445993e-05,1.3483031914145264e-06,1.7683082619766303e-06,9.536890000000002e-07
2616.9102854536995,1.3579771979662202e-06,1.317436149774596e-06,0.0,1.317436149774596e-06,1.1988406436590867e-06,1.2715772777849222e-06
2939.966143553497,4.107845846850057e-07,1.1125974567209638e-06,0.0,1.1125974567209638e-06,1.5860618595193754e-06,1.1988435092894037e-06
3302.9030354176994,1.263888840284143e-06,1.3609645785898026e-06,2.6457076085582168e-05,1.3609645785898026e-06,1.3066034376235424e-06,1.2715656666666907e-06
3710.6442485033795,1.2674123445666862e-06,1.1822333124206086e-06,2.875567576824244e-05,1.1822333124206086e-06,1.0807742537894684e-06,0.0
4168.7208468746185,6.234271100509343e-05,5.297369053851799e-05,0.0,5.297369053851799e-05,1.489071753643803e-06,6.30796389675967e-07
4683.346700825936,1.2480531609052253e-06,4.2118584044946334e-07,3.0311143695041256e-05,4.2118584044946334e-07,9.23222405152295e-07,8.25906776954125e-07
5261.50277886354,1.0211519133899045e-06,1.3721400758903212e-06,2.6413774815415738e-05,1.3721400758903212e-06,9.475959184650155e-07,1.2715911112062575e-06
5911.031845476361,1.176675804476484e-06,1.0989445133520559e-06,0.0,1.0989445133520559e-06,1.1986245615312835e-06,1.5573583619595816e-06
6640.744849284788,1.6262838965918459e-06,1.6103064554388938e-06,0.0,1.6103064554388938e-06,9.232224051520849e-07,9.536725000024572e-07
