freq,Vs_3w,Vs_3w_o,Vs_1w,Vs_1w_o,Vsh_1w,Vsh_1w_o
50.0,-0.004955786780487805,0.00014891365651219514,0.8427696124999999,-0.00017547700000000003,0.002841249125,-9.536815e-07
56.172467201025746,-0.004967556560975609,7.099092048780488e-05,0.8424568,-0.0002670304375,0.0028389975555555553,-1.2715753333333335e-06
63.10692142900625,-0.004923501341463414,0.00012281534565853657,0.8427085750000001,-0.00015258876,0.0028421761111111113,-6.357876666666668e-07
70.89742948257124,-0.004906335390243903,0.00012258272063414634,0.8427230000000001,-0.00021701521111111113,0.002841540444444445,-8.47716888888889e-07
79.64967064493537,-0.004901310975609756,0.00012695563804878047,0.8426857000000001,-0.0002212539375,0.002840692666666667,-4.238584444444445e-07
89.48237023750268,-0.004894798146341464,0.00012746741975609753,0.8427094444444445,-0.00019667007777777776,0.0028409046666666667,-2.1192922222222225e-07
100.52891014472323,-0.004888564292682926,0.00012839784853658538,0.8426704500000001,-0.00019836542499999997,0.002840772125,-2.38420375e-07
112.93913815718659,-0.004883260926829268,0.00013109609268292682,0.8426687555555556,-0.0002441425,0.002841116555555556,-4.238584444444445e-07
126.88140067693357,-0.004877632073170731,0.0001345387487804878,0.8426552,-0.00021023355555555554,0.0028415403333333336,2.1192922222222225e-07
142.54482635890514,-0.0048716774634146335,0.00013821391707317073,0.8426552,-0.00019073591249999997,0.0028409046666666667,2.1192922222222225e-07
160.14189166643013,-0.00486507131707317,0.00014598288048780486,0.8426552,-0.0002441425,0.0028417523333333335,-2.1192922222222225e-07
179.91130314285527,-0.004859488780487805,0.0001507279975609756,0.8426552,-0.0002441425,0.002841964111111111,0.0
202.12123549771675,-0.004852789707317073,0.0001575200292682927,0.8426552,-0.0002441425,0.0028419643333333334,2.1192922222222225e-07
227.0729694325259,-0.00484692856097561,0.00016556810243902438,0.8426552,-0.0003662128,0.0028426000000000002,-2.1192922222222225e-07
255.10497855376158,-0.004840229487804878,0.00017445356097560977,0.8426484111111112,-0.000427248,0.002842202875,0.0
286.597520812591,-0.004833251,0.00018473459268292684,0.8426552,-0.000427248,0.002842679625,0.0
321.9777967548111,-0.0048254821951219514,0.00019687649512195124,0.8426552,-0.000488285,0.002842679625,2.38420375e-07
361.7257445533632,-0.00481803868292683,0.00021055361463414636,0.8426552,-0.000427248,0.0028421763333333332,0.0
